labels,word
Motorrad,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe, Pumpe, Pumpenmotor, Motor, Vakuummaschine"
Prozessor,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe, Pumpe, Pumpenmotor, Motor, Vakuummaschine"
Abschluss,"Oberphase, Wasserphase, Mulmphase, Xylolphase, Phase, Messung, Spülxylolablauf, Destillatablauf, Ablauf, Schichtende, Ende, Druck, Betrieb, Zeit, Rückfluss"
Maschine,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe, Pumpe, Pumpenmotor, Motor, Vakuummaschine"
Motor,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe, Pumpe, Pumpenmotor, Vakuummaschine"
Moment,"Oberphase, Wasserphase, Mulmphase, Xylolphase, Phase, Messung, Spülxylolablauf, Destillatablauf, Ablauf, Druck, Betrieb, Zeit, Rückfluss"
Gegenwart,"Oberphase, Wasserphase, Mulmphase, Xylolphase, Phase, Messung, Spülxylolablauf, Destillatablauf, Ablauf, Druck, Betrieb, Zeit, Rückfluss"
Einrichtung,"Pumpe, Ventil, Vakuumanlage, Vakuum-anlage, Marlothermanlage, Anlage, Begleitheizung, Begleitbeheizung, Pulversystem, System, Motor, Vakuummaschine, Kupplung"
Organ,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe, Pumpe, Wärmekammer"
Verbindung,"Re-xylol, Spülxylol, Frischxylol, Xylol, Rein-ethanol, Roh-ethanol, Ethanol, Phenotiazin, Phenothiazin, Wasser, Kupplung, Rückfluss"
Herz,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe, Pumpe"
Leitung,"Destillatablaufleitung, Umpumpleitung, Entlüftungsleitung, Ablaufleitung, Abgasleitung, Disulfatisierungsleitung, Saugleitung, Druckleitung, Einlaufleitung, Überfüllsonde, Trockenlaufsonde, Sonde"
Synonym,"Phase, Sonde, Filter, Frischansatz, Ansatz, Pulversystem, System, Status, Probe, Ordnung, Einlauf, Versuch"
Substanz,"Schauglas, Einlaufschauglas, Glas, Rein-ethanol, Roh-ethanol, Ethanol, Wasser-puffer, Wasserpuffer, Puffer, Lager, Streichdampf, Dampf"
Relation,"Phase, Sonde, Filter, Frischansatz, Ansatz, Pulversystem, System, Status, Probe, Ordnung, Einlauf"
Pumpe,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe"
Entropie,"Phase, Sonde, Filter, Frischansatz, Ansatz, Pulversystem, System, Status, Probe, Ordnung, Einlauf"
Person,"Lösemittelsammler, Abwassersammler, Mulmsammler, Mulmrückstandssammler, Rückstandssammler, Mulm-rs-sammler, Lömi-sammler, Sammler, Anlagenstand, Stand"
-e,"Rein-mibk-vorlage, Sumpfvorlage, Spülxylolvorlage, Hydrolyse-vorlage, Mase-vorlage, Abc-vorlage, Masevorlage, Rein-vorlage, Vorlage"
Stress,"Bodenventil, Druckluftventil, Ablassventil, Abpumpventil, Taktungsventil, Regelventil, Ventil, Etiketten-druck, Druck"
Druck,"Bodenventil, Druckluftventil, Ablassventil, Abpumpventil, Taktungsventil, Regelventil, Ventil, Etiketten-druck"
Getränk,"Rein-ethanol, Roh-ethanol, Ethanol, Schlauchlager, Tanklager, Lager, Wasser, Rückfluss"
Veränderung,"Beispielstörung, Funktionsstörung, Störung, Destillatablaufschwankung, Schwankung, Verstopfung, Warmwasserüberlauf, Diazoeinlauf"
Stück,"Ablauf, Lochscheibe, Steckscheibe, Schichtende, Ende, Saugstutzen, Abgasstutzen, Grund"
Tätigkeit,"Begleitheizung, Begleitbeheizung, Förderleistung, Pumpenleistung, Einsaugvorrichtung, Auffangvorrichtung, Betrieb, Probe"
Vorlage,"Rein-mibk-vorlage, Sumpfvorlage, Spülxylolvorlage, Hydrolyse-vorlage, Mase-vorlage, Abc-vorlage, Masevorlage, Rein-vorlage"
Festlegung,"Vakuumanlage, Vakuum-anlage, Marlothermanlage, Anlage, Begleitheizung, Begleitbeheizung, Khco³-dosierung, Dosierung"
Mechanismus,"Bodenventil, Druckluftventil, Ablassventil, Abpumpventil, Taktungsventil, Regelventil, Ventil, Kupplung"
Kurzform,"Schlauchlager, Tanklager, Lager, Phasenversteller, Phaseneinsteller, Kontrollieren, Anfahren"
Methode,"Hechtfilter, Polizeifilter, Filter, Gesamtstatus, Status, Probe, Einlauf"
Flüssigkeiten,"Bodenventil, Druckluftventil, Ablassventil, Abpumpventil, Taktungsventil, Regelventil, Ventil"
Sammler,"Lösemittelsammler, Abwassersammler, Mulmsammler, Mulmrückstandssammler, Rückstandssammler, Mulm-rs-sammler, Lömi-sammler"
Stereoanlage,"Vakuumanlage, Vakuum-anlage, Marlothermanlage, Anlage, Begleitheizung, Begleitbeheizung"
Areal,"Vakuumanlage, Vakuum-anlage, Marlothermanlage, Anlage, Begleitheizung, Begleitbeheizung"
Bezirk,"Anlage, Lager, Anlagenstand, Stand, Betrieb, Probe"
Geschirr,"Schauglas, Einlaufschauglas, Glas, Lager, Phasenversteller, Phaseneinsteller"
Ventil,"Bodenventil, Druckluftventil, Ablassventil, Abpumpventil, Taktungsventil, Regelventil"
Trinkgefäß,"Schauglas, Einlaufschauglas, Glas, Schlauchlager, Tanklager, Lager"
Untersuchung,"Standmessung, Leitfähigkeitsmessung, Messung, Mengenüberwachung, Xylolüberwachung, Probe"
Abgabe,"Vakuumanlage, Vakuum-anlage, Marlothermanlage, Anlage, Begleitheizung, Begleitbeheizung"
Position,"Einsaugvorrichtung, Auffangvorrichtung, Gesamtstatus, Status, Warmwasserüberlauf, Diazoeinlauf"
Veranlagung,"Vakuumanlage, Vakuum-anlage, Marlothermanlage, Anlage, Begleitheizung, Begleitbeheizung"
Anhang,"Vakuumanlage, Vakuum-anlage, Marlothermanlage, Anlage, Begleitheizung, Begleitbeheizung"
Plan,"Vakuumanlage, Vakuum-anlage, Marlothermanlage, Anlage, Begleitheizung, Begleitbeheizung"
Ende,"Phase, Spülxylolablauf, Destillatablauf, Ablauf, Schichtende, Zeit"
Feststoff,"Schauglas, Einlaufschauglas, Glas, Schlauchlager, Tanklager, Lager"
Anlage,"Vakuumanlage, Vakuum-anlage, Marlothermanlage, Begleitheizung, Begleitbeheizung"
Anstrengung,"Streichdampf, Dampf, Förderleistung, Pumpenleistung, Probe"
alkoholisches,"Schlauchlager, Tanklager, Lager, Wasser, Rückfluss"
Beobachtung,"Standmessung, Leitfähigkeitsmessung, Messung, Mengenüberwachung, Xylolüberwachung"
Glas,"Schauglas, Einlaufschauglas, Schlauchlager, Tanklager, Lager"
Hülle,"Pumpengehäuse, Gehäuse, Sieb, Mannlochdeckel, Deckel"
Phase,"Oberphase, Wasserphase, Mulmphase, Xylolphase, Betrieb"
Beeinträchtigung,"Beispielstörung, Funktionsstörung, Störung, Teil-verstopfung, Verstopfung"
