,labels,words
57,Computer,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe, Pumpe, Pumpenmotor, Motor, Vakuummaschine"
58,Motorrad,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe, Pumpe, Pumpenmotor, Motor, Vakuummaschine"
59,Prozessor,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe, Pumpe, Pumpenmotor, Motor, Vakuummaschine"
60,Abschluss,"Oberphase, Wasserphase, Mulmphase, Xylolphase, Phase, Messung, Spülxylolablauf, Destillatablauf, Ablauf, Schichtende, Ende, Druck, Betrieb, Zeit, Rückfluss"
61,Maschine,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe, Pumpe, Pumpenmotor, Motor, Vakuummaschine"
62,Motor,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe, Pumpe, Pumpenmotor, Vakuummaschine"
63,Moment,"Oberphase, Wasserphase, Mulmphase, Xylolphase, Phase, Messung, Spülxylolablauf, Destillatablauf, Ablauf, Druck, Betrieb, Zeit, Rückfluss"
64,Gegenwart,"Oberphase, Wasserphase, Mulmphase, Xylolphase, Phase, Messung, Spülxylolablauf, Destillatablauf, Ablauf, Druck, Betrieb, Zeit, Rückfluss"
65,Einrichtung,"Pumpe, Ventil, Vakuumanlage, Vakuum-anlage, Marlothermanlage, Anlage, Begleitheizung, Begleitbeheizung, Pulversystem, System, Motor, Vakuummaschine, Kupplung"
66,Organ,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe, Pumpe, Wärmekammer"
67,Verbindung,"Re-xylol, Spülxylol, Frischxylol, Xylol, Rein-ethanol, Roh-ethanol, Ethanol, Phenotiazin, Phenothiazin, Wasser, Kupplung, Rückfluss"
68,Herz,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe, Pumpe"
69,Leitung,"Destillatablaufleitung, Umpumpleitung, Entlüftungsleitung, Ablaufleitung, Abgasleitung, Disulfatisierungsleitung, Saugleitung, Druckleitung, Einlaufleitung, Überfüllsonde, Trockenlaufsonde, Sonde"
70,Synonym,"Phase, Sonde, Filter, Frischansatz, Ansatz, Pulversystem, System, Status, Probe, Ordnung, Einlauf, Versuch"
71,Substanz,"Schauglas, Einlaufschauglas, Glas, Rein-ethanol, Roh-ethanol, Ethanol, Wasser-puffer, Wasserpuffer, Puffer, Lager, Streichdampf, Dampf"
72,Relation,"Phase, Sonde, Filter, Frischansatz, Ansatz, Pulversystem, System, Status, Probe, Ordnung, Einlauf"
73,Pumpe,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe"
74,Entropie,"Phase, Sonde, Filter, Frischansatz, Ansatz, Pulversystem, System, Status, Probe, Ordnung, Einlauf"
75,Person,"Lösemittelsammler, Abwassersammler, Mulmsammler, Mulmrückstandssammler, Rückstandssammler, Mulm-rs-sammler, Lömi-sammler, Sammler, Anlagenstand, Stand"
76,-e,"Rein-mibk-vorlage, Sumpfvorlage, Spülxylolvorlage, Hydrolyse-vorlage, Mase-vorlage, Abc-vorlage, Masevorlage, Rein-vorlage, Vorlage"
77,Stress,"Bodenventil, Druckluftventil, Ablassventil, Abpumpventil, Taktungsventil, Regelventil, Ventil, Etiketten-druck, Druck"
78,Druck,"Bodenventil, Druckluftventil, Ablassventil, Abpumpventil, Taktungsventil, Regelventil, Ventil, Etiketten-druck"
79,Getränk,"Rein-ethanol, Roh-ethanol, Ethanol, Schlauchlager, Tanklager, Lager, Wasser, Rückfluss"
80,Veränderung,"Beispielstörung, Funktionsstörung, Störung, Destillatablaufschwankung, Schwankung, Verstopfung, Warmwasserüberlauf, Diazoeinlauf"
81,Stück,"Ablauf, Lochscheibe, Steckscheibe, Schichtende, Ende, Saugstutzen, Abgasstutzen, Grund"
82,Tätigkeit,"Begleitheizung, Begleitbeheizung, Förderleistung, Pumpenleistung, Einsaugvorrichtung, Auffangvorrichtung, Betrieb, Probe"
83,Vorlage,"Rein-mibk-vorlage, Sumpfvorlage, Spülxylolvorlage, Hydrolyse-vorlage, Mase-vorlage, Abc-vorlage, Masevorlage, Rein-vorlage"
84,Festlegung,"Vakuumanlage, Vakuum-anlage, Marlothermanlage, Anlage, Begleitheizung, Begleitbeheizung, Khco³-dosierung, Dosierung"
85,Mechanismus,"Bodenventil, Druckluftventil, Ablassventil, Abpumpventil, Taktungsventil, Regelventil, Ventil, Kupplung"
86,Kurzform,"Schlauchlager, Tanklager, Lager, Phasenversteller, Phaseneinsteller, Kontrollieren, Anfahren"
87,Methode,"Hechtfilter, Polizeifilter, Filter, Gesamtstatus, Status, Probe, Einlauf"
88,Flüssigkeiten,"Bodenventil, Druckluftventil, Ablassventil, Abpumpventil, Taktungsventil, Regelventil, Ventil"
89,Sammler,"Lösemittelsammler, Abwassersammler, Mulmsammler, Mulmrückstandssammler, Rückstandssammler, Mulm-rs-sammler, Lömi-sammler"
90,Stereoanlage,"Vakuumanlage, Vakuum-anlage, Marlothermanlage, Anlage, Begleitheizung, Begleitbeheizung"
91,Areal,"Vakuumanlage, Vakuum-anlage, Marlothermanlage, Anlage, Begleitheizung, Begleitbeheizung"
92,Bezirk,"Anlage, Lager, Anlagenstand, Stand, Betrieb, Probe"
93,Geschirr,"Schauglas, Einlaufschauglas, Glas, Lager, Phasenversteller, Phaseneinsteller"
94,Ventil,"Bodenventil, Druckluftventil, Ablassventil, Abpumpventil, Taktungsventil, Regelventil"
95,Trinkgefäß,"Schauglas, Einlaufschauglas, Glas, Schlauchlager, Tanklager, Lager"
96,Untersuchung,"Standmessung, Leitfähigkeitsmessung, Messung, Mengenüberwachung, Xylolüberwachung, Probe"
97,Abgabe,"Vakuumanlage, Vakuum-anlage, Marlothermanlage, Anlage, Begleitheizung, Begleitbeheizung"
98,Position,"Einsaugvorrichtung, Auffangvorrichtung, Gesamtstatus, Status, Warmwasserüberlauf, Diazoeinlauf"
99,Veranlagung,"Vakuumanlage, Vakuum-anlage, Marlothermanlage, Anlage, Begleitheizung, Begleitbeheizung"
100,Anhang,"Vakuumanlage, Vakuum-anlage, Marlothermanlage, Anlage, Begleitheizung, Begleitbeheizung"
101,Plan,"Vakuumanlage, Vakuum-anlage, Marlothermanlage, Anlage, Begleitheizung, Begleitbeheizung"
102,Ende,"Phase, Spülxylolablauf, Destillatablauf, Ablauf, Schichtende, Zeit"
103,Feststoff,"Schauglas, Einlaufschauglas, Glas, Schlauchlager, Tanklager, Lager"
104,Anlage,"Vakuumanlage, Vakuum-anlage, Marlothermanlage, Begleitheizung, Begleitbeheizung"
105,Anstrengung,"Streichdampf, Dampf, Förderleistung, Pumpenleistung, Probe"
106,alkoholisches,"Schlauchlager, Tanklager, Lager, Wasser, Rückfluss"
107,Beobachtung,"Standmessung, Leitfähigkeitsmessung, Messung, Mengenüberwachung, Xylolüberwachung"
108,Glas,"Schauglas, Einlaufschauglas, Schlauchlager, Tanklager, Lager"
109,Hülle,"Pumpengehäuse, Gehäuse, Sieb, Mannlochdeckel, Deckel"
110,Phase,"Oberphase, Wasserphase, Mulmphase, Xylolphase, Betrieb"
111,Beeinträchtigung,"Beispielstörung, Funktionsstörung, Störung, Teil-verstopfung, Verstopfung"
