,labels,words
29,Reihe,"Unterprogramm, Maschinenprogramm, Hauptprogramm, Stapelprogramm, Dialogprogramm, Systemprogramm, Dienstprogramm, Binärprogramm, Anwenderprogramm, Programm, Quelloffene-software, Open-source-software, Individualsoftware, Anwendungssoftware, Software, Quelltext, Jit-compiler, Precompiler, Java-compiler, Compiler, System, Hilfetext, Programmtext, N{\text, Text, Programm-quellcode, Quellcode, Texteditor, Zeit, Phase, Bereich, Fehler, Neuentwicklung, Entwicklung, Version, Befehlsfolge, Folge, Programmstelle, Stelle, Debugger, Vorgang, Software-lebenszyklus, Produktlebenszyklus, Speicherverbrauch, Ressourcenverbrauch"
30,Liste,"Unterprogramm, Maschinenprogramm, Hauptprogramm, Stapelprogramm, Dialogprogramm, Systemprogramm, Dienstprogramm, Binärprogramm, Anwenderprogramm, Programm, Quelloffene-software, Open-source-software, Individualsoftware, Anwendungssoftware, Software, Quelltext, Jit-compiler, Precompiler, Java-compiler, Compiler, System, Hilfetext, Programmtext, N{\text, Text, Programm-quellcode, Quellcode, Texteditor, Zeit, Phase, Bereich, Fehler, Neuentwicklung, Entwicklung, Version, Befehlsfolge, Folge, Programmstelle, Stelle, Debugger, Vorgang, Software-lebenszyklus, Produktlebenszyklus, Speicherverbrauch, Ressourcenverbrauch"
31,Stoff,"Programm, Sql-anweisung, Originalanweisung, Quellcodeanweisung, Ausgabeanweisung, Ablaufanweisung, Schleifenkontrollanweisung, Anweisung, Maschinenbefehl, Aufrufbefehl, Prozessorbefehl, Vergleichsbefehl, Befehl, Rechner, Text, Rechnerumgebung, Hardwareumgebung, Programmierumgebung, Umgebung, Zeit, Management, Foreach-schleife, Schleife, Programmteil, Teil, Befehlsfolge, Folge, Problemlösung, Lösung, Stelle, Funktionsblock, Anweisungsblock, Lizenzvereinbarung, Vereinbarung, Dateiendung, Endung, Online-verbindung, Verbindung, Verarbeitungsvorschrift, Vorschrift, Operation, Adresse, Richtlinie"
32,Ablauf,"Sql-anweisung, Originalanweisung, Quellcodeanweisung, Ausgabeanweisung, Ablaufanweisung, Schleifenkontrollanweisung, Anweisung, Befehl, System, Plattform, Compilezeit, Einarbeitungszeit, Zeit, Compilezeit-phase, Projektphase, Phase, Bereich, Newton-verfahren, Iterationsverfahren, Verfahren, Syntaxfehler, Fehler, Oberflächenform, Form, Schritt, Neuentwicklung, Entwicklung, Programmpaket, Paket, Problemlösung, Lösung, Programmierstil, Einrückungsstil, Übersetzungsvorgang, Vorgang, Programmstruktur, Datumenstruktur, Variante, Vorschrift, Ausführungszeitraum, Zeitraum, Software-lebenszyklus, Produktlebenszyklus"
33,Aussehen,"Zwischencode, Maschinencode, Zielcode, Html-code, Bytecode, Code, Sql-anweisung, Originalanweisung, Quellcodeanweisung, Ausgabeanweisung, Ablaufanweisung, Schleifenkontrollanweisung, Anweisung, Befehl, Quelltext, Anwendungssystem, Rechnersystem, Zielsystem, System, Text, Rechnerumgebung, Hardwareumgebung, Programmierumgebung, Umgebung, Quellcode, Compilezeit-phase, Projektphase, Phase, Server-bereich, Desktop-bereich, Bereich, Arbeit, Computer, Rechenschritt, Schritt, Paket, Auszeichnungssprache, Sprache, Programmstruktur, Datumenstruktur, Vorschrift, Art"
34,Zusammensetzung,"Zwischencode, Maschinencode, Zielcode, Html-code, Bytecode, Code, Sql-anweisung, Originalanweisung, Quellcodeanweisung, Ausgabeanweisung, Ablaufanweisung, Schleifenkontrollanweisung, Anweisung, Befehl, Quelltext, Anwendungssystem, Rechnersystem, Zielsystem, System, Text, Rechnerumgebung, Hardwareumgebung, Programmierumgebung, Umgebung, Quellcode, Compilezeit-phase, Projektphase, Phase, Server-bereich, Desktop-bereich, Bereich, Arbeit, Computer, Rechenschritt, Schritt, Paket, Auszeichnungssprache, Sprache, Programmstruktur, Datumenstruktur, Vorschrift, Art"
35,Tun,"Funktion, Ggt-algorithmus, Algorithmus, Entwicklungsmethode, Iterationsmethode, Methode, Workflow-management, Veränderungsmanagement, Management, Anforderungsanalyse, Performanzanalyse, Analyse, Teamarbeit, Programmierarbeit, Arbeit, Newton-verfahren, Iterationsverfahren, Verfahren, Schritt, Unix-anwendung, Anwendung, Neuentwicklung, Entwicklung, Problem, Entwicklertest, Test, Bauziel, Ziel, Quelltextformatierung, Formatierung, Langzeitverhalten, Verhalten, Prinzip, Verarbeitungsvorschrift, Vorschrift, Rechenoperation, Operation, Urheberrechtsrichtlinie, Richtlinie"
36,Beziehung,"Anweisung, Betriebssystemfunktion, Programmfunktion, Fehlfunktion, Sinusfunktion, Funktion, Rechner, System, Methode, Workflow-management, Veränderungsmanagement, Management, Bereich, Foreach-schleife, Schleife, Teamarbeit, Programmierarbeit, Arbeit, Verfahren, Form, Ausführung, Neuentwicklung, Entwicklung, Sprache, Problem, Ziel, Funktionsblock, Anweisungsblock, Programmstruktur, Datumenstruktur, Stellung, Lizenzvereinbarung, Vereinbarung, Online-verbindung, Verbindung, Operation, Fehlerart, Art"
37,Organisation,"Zwischencode, Maschinencode, Zielcode, Html-code, Bytecode, Code, Rechner, Quelltext, Anwendungssystem, Rechnersystem, Zielsystem, System, Hilfetext, Programmtext, N{\text, Text, Programm-quellcode, Quellcode, Methode, Workflow-management, Veränderungsmanagement, Management, Schleife, Verfahren, Microcomputer, Computer, Form, Ausführung, Auszeichnungssprache, Sprache, Stelle, Stellung, Vereinbarung, Online-verbindung, Verbindung, Assemblersprache, Fehlerart, Art"
38,Handlung,"Betriebssystemfunktion, Programmfunktion, Fehlfunktion, Sinusfunktion, Funktion, Ggt-algorithmus, Algorithmus, Workflow-management, Veränderungsmanagement, Management, Anforderungsanalyse, Performanzanalyse, Analyse, Schleife, Teamarbeit, Programmierarbeit, Arbeit, Rechenschritt, Schritt, Unix-anwendung, Anwendung, Neuentwicklung, Entwicklung, Berechnung, Anwendungsproblem, Problem, Entwicklertest, Test, Bauziel, Ziel, Quelltextformatierung, Formatierung, Schutz, Rechenoperation, Operation, Setzen, Übersetzen"
39,Anordnung,"Code, Sql-anweisung, Originalanweisung, Quellcodeanweisung, Ausgabeanweisung, Ablaufanweisung, Schleifenkontrollanweisung, Anweisung, Maschinenbefehl, Aufrufbefehl, Prozessorbefehl, Vergleichsbefehl, Befehl, Anwendungssystem, Rechnersystem, Zielsystem, System, Umgebung, Phase, Server-bereich, Desktop-bereich, Bereich, Schritt, Programmpaket, Paket, Sprache, Programmstruktur, Datumenstruktur, Editor, Verarbeitungsvorschrift, Vorschrift, Endanwendersicht, Sicht, Urheberrechtsrichtlinie, Richtlinie"
40,Sammlung,"Sql-anweisung, Originalanweisung, Quellcodeanweisung, Ausgabeanweisung, Ablaufanweisung, Schleifenkontrollanweisung, Anweisung, Befehl, System, Plattform, Bereich, Newton-verfahren, Iterationsverfahren, Verfahren, Syntaxfehler, Fehler, Oberflächenform, Form, Schritt, Neuentwicklung, Entwicklung, Programmpaket, Paket, Problemlösung, Lösung, Programmierstil, Einrückungsstil, Übersetzungsvorgang, Vorgang, Programmstruktur, Datumenstruktur, Editor, Variante, Vorschrift"
41,Schrift,"Code, Rechner, Quelltext, Anwendungssystem, Rechnersystem, Zielsystem, System, Hilfetext, Programmtext, N{\text, Text, Umgebung, Programm-quellcode, Quellcode, Phase, Server-bereich, Desktop-bereich, Bereich, Syntaxfehler, Fehler, Schritt, Anwendung, Programmdatei, Datei, Sprache, Dateiversion, Version, Programmstelle, Stelle, Software-dokument, Entwurfsdokument, Quelltextdaten, Eingabedaten, Art"
42,Verhalten,"Funktion, Ggt-algorithmus, Algorithmus, Workflow-management, Veränderungsmanagement, Management, Anforderungsanalyse, Performanzanalyse, Analyse, Teamarbeit, Programmierarbeit, Arbeit, Schritt, Unix-anwendung, Anwendung, Neuentwicklung, Entwicklung, Problem, Entwicklertest, Test, Bauziel, Ziel, Quelltextformatierung, Formatierung, Langzeitverhalten, Annuitätsprinzip, Prinzip, Verarbeitungsvorschrift, Vorschrift, Rechenoperation, Operation, Urheberrechtsrichtlinie, Richtlinie"
43,Abteilung,"Quelltext, System, Text, Plattform, Entwicklungsmethode, Iterationsmethode, Methode, Workflow-management, Veränderungsmanagement, Management, Bereich, Newton-verfahren, Iterationsverfahren, Verfahren, Fehler, Oberflächenform, Form, Unabhängigkeit, Programmausführung, Ausführung, Entwicklung, Auszeichnungssprache, Sprache, Programmstelle, Stelle, Programmstruktur, Datumenstruktur, Aufgabenstellung, Stellung, Variante, Fehlerart, Art"
44,Mittel,"Arbeitsplatzrechner, Edvac-rechner, Edsac-rechner, Großrechner, Rechner, Quelltext, Hilfetext, Programmtext, N{\text, Text, Übertragungsaufwand, Anpassungsaufwand, Entwicklungsaufwand, Aufwand, Quellcode, Plattform, Endgerät, Programmiergerät, Gerät, Teamarbeit, Programmierarbeit, Arbeit, Microcomputer, Computer, Entwicklung, Auszeichnungssprache, Sprache, Stelle, Werkzeug, Stellung, Adresse, Assemblersprache"
45,Tätigkeit,"Betriebssystemfunktion, Programmfunktion, Fehlfunktion, Sinusfunktion, Funktion, Workflow-management, Veränderungsmanagement, Management, Schleife, Teamarbeit, Programmierarbeit, Arbeit, Newton-verfahren, Iterationsverfahren, Verfahren, Syntaxfehler, Fehler, Neuentwicklung, Entwicklung, Programmstelle, Stelle, Anwendungsproblem, Problem, Methodenimplementierung, Implementierung, Bauziel, Ziel, Schutz, Rechenoperation, Operation, Setzen, Übersetzen"
46,Zeichen,"Quelltext, System, Hilfetext, Programmtext, N{\text, Text, Programm-quellcode, Quellcode, Bereich, Arbeit, Syntaxfehler, Fehler, Programmdatei, Datei, Auszeichnungssprache, Sprache, Version, Programmstelle, Stelle, Qualitätskriterium, Kriterium, Softwarequalität, Qualität, Software-dokument, Entwurfsdokument, Quelltextdaten, Eingabedaten, Rechenoperation, Operation, Hilfsvariable, Zeigervariable, Assemblersprache"
47,Gefüge,"Zwischencode, Maschinencode, Zielcode, Html-code, Bytecode, Code, Rechner, Quelltext, Anwendungssystem, Rechnersystem, Zielsystem, System, Hilfetext, Programmtext, N{\text, Text, Programm-quellcode, Quellcode, Methode, Verfahren, Microcomputer, Computer, Form, Ausführung, Auszeichnungssprache, Sprache, Stelle, Stellung, Assemblersprache, Fehlerart, Art"
48,Objekt,"Programm, Arbeitsplatzrechner, Edvac-rechner, Edsac-rechner, Großrechner, Rechner, Text, Zeit, Endgerät, Programmiergerät, Gerät, Workflow-management, Veränderungsmanagement, Management, Arbeit, Microcomputer, Computer, Fehler, Programmteil, Teil, Befehlsfolge, Folge, Programmstelle, Stelle, Bauziel, Ziel, Funktionsblock, Anweisungsblock, Werkzeug, Operation, Adresse"
49,Aktion,"Anweisung, Funktion, Workflow-management, Veränderungsmanagement, Management, Teamarbeit, Programmierarbeit, Arbeit, Newton-verfahren, Iterationsverfahren, Verfahren, Fehler, Form, Neuentwicklung, Entwicklung, Paket, Quadratwurzelberechnung, Berechnung, Lösung, Programmstelle, Stelle, Problem, Methodenimplementierung, Implementierung, Bauziel, Ziel, Übersetzungsvorgang, Vorgang, Editor, Rechenoperation, Operation"
50,Schema,"Zwischencode, Maschinencode, Zielcode, Html-code, Bytecode, Code, Rechner, Quelltext, Anwendungssystem, Rechnersystem, Zielsystem, System, Hilfetext, Programmtext, N{\text, Text, Programm-quellcode, Quellcode, Methode, Verfahren, Microcomputer, Computer, Form, Ausführung, Auszeichnungssprache, Sprache, Stelle, Stellung, Assemblersprache, Fehlerart, Art"
51,Code,"Programm, Zwischencode, Maschinencode, Zielcode, Html-code, Bytecode, Sql-anweisung, Originalanweisung, Quellcodeanweisung, Ausgabeanweisung, Ablaufanweisung, Schleifenkontrollanweisung, Anweisung, Befehl, Text, Umgebung, Programm-quellcode, Quellcode, Syntaxfehler, Fehler, Programmteil, Teil, Befehlsfolge, Folge, Programmstelle, Stelle, Endung, Vorschrift, Hilfsvariable, Zeigervariable"
52,Sprache,"Code, Rechner, Quelltext, Anwendungssystem, Rechnersystem, Zielsystem, System, Hilfetext, Programmtext, N{\text, Text, Umgebung, Programm-quellcode, Quellcode, Phase, Server-bereich, Desktop-bereich, Bereich, Syntaxfehler, Fehler, Schritt, Anwendung, Auszeichnungssprache, Dateiversion, Version, Programmstelle, Stelle, Assemblersprache, Art"
53,Bereich,"Funktion, Rechnerumgebung, Hardwareumgebung, Programmierumgebung, Umgebung, Cross-plattform, Zielplattform, Plattform, Compilezeit-phase, Projektphase, Phase, Server-bereich, Desktop-bereich, Teamarbeit, Programmierarbeit, Arbeit, Rechenschritt, Schritt, Neuentwicklung, Entwicklung, Stelle, Problem, Aufgabenstellung, Stellung, Operation, Speicheradresse, Adresse, Speicherverbrauch, Ressourcenverbrauch"
54,Abschnitt,"Methode, Compilezeit, Einarbeitungszeit, Zeit, Compilezeit-phase, Projektphase, Phase, Workflow-management, Veränderungsmanagement, Management, Newton-verfahren, Iterationsverfahren, Verfahren, Syntaxfehler, Fehler, Form, Ausführung, Sprache, Programmstelle, Stelle, Übersetzungsvorgang, Vorgang, Stellung, Ausführungszeitraum, Zeitraum, Software-lebenszyklus, Produktlebenszyklus, Fehlerart, Art"
55,Ort,"Betriebssystemfunktion, Programmfunktion, Fehlfunktion, Sinusfunktion, Funktion, Cross-plattform, Zielplattform, Plattform, Schleife, Teamarbeit, Programmierarbeit, Arbeit, Fehler, Neuentwicklung, Entwicklung, Programmstelle, Stelle, Anwendungsproblem, Problem, Ziel, Schutz, Aufgabenstellung, Stellung, Rechenoperation, Operation, Speicheradresse, Adresse, Setzen, Übersetzen"
56,Überlieferung,"Code, Rechner, Quelltext, Anwendungssystem, Rechnersystem, Zielsystem, System, Hilfetext, Programmtext, N{\text, Text, Umgebung, Programm-quellcode, Quellcode, Phase, Server-bereich, Desktop-bereich, Bereich, Syntaxfehler, Fehler, Schritt, Anwendung, Sprache, Dateiversion, Version, Programmstelle, Stelle, Art"
57,Entwurf,"Quelltext, System, Text, Plattform, Entwicklungsmethode, Iterationsmethode, Methode, Bereich, Newton-verfahren, Iterationsverfahren, Verfahren, Oberflächenform, Form, Unabhängigkeit, Programmausführung, Ausführung, Entwicklung, Auszeichnungssprache, Sprache, Version, Programmstruktur, Datumenstruktur, Aufgabenstellung, Stellung, Untervariante, Variante, Fehlerart, Art"
58,Maßeinheit,"Quelltext, System, Text, Plattform, Entwicklungsmethode, Iterationsmethode, Methode, Bereich, Newton-verfahren, Iterationsverfahren, Verfahren, Oberflächenform, Form, Rechenschritt, Schritt, Unabhängigkeit, Programmausführung, Ausführung, Entwicklung, Auszeichnungssprache, Sprache, Programmstruktur, Datumenstruktur, Aufgabenstellung, Stellung, Variante, Fehlerart, Art"
59,Einteilung,"Unterprogramm, Maschinenprogramm, Hauptprogramm, Stapelprogramm, Dialogprogramm, Systemprogramm, Dienstprogramm, Binärprogramm, Anwenderprogramm, Programm, Software, Quelltext, Compiler, Hilfetext, Programmtext, N{\text, Text, Quellcode, Texteditor, Rechenschritt, Schritt, Entwicklung, Befehlsfolge, Folge, Stelle, Debugger, Software-lebenszyklus, Produktlebenszyklus"
60,Werkzeug,"Funktion, Arbeitsplatzrechner, Edvac-rechner, Edsac-rechner, Großrechner, Rechner, Cross-plattform, Zielplattform, Plattform, Endgerät, Programmiergerät, Gerät, Teamarbeit, Programmierarbeit, Arbeit, Microcomputer, Computer, Neuentwicklung, Entwicklung, Stelle, Problem, Aufgabenstellung, Stellung, Operation, Speicheradresse, Adresse"
61,Material,"Sql-anweisung, Originalanweisung, Quellcodeanweisung, Ausgabeanweisung, Ablaufanweisung, Schleifenkontrollanweisung, Anweisung, Befehl, Umgebung, Schleife, Patch, Programmteil, Teil, Programmpaket, Paket, Folge, Problemlösung, Lösung, Software-dokument, Entwurfsdokument, Vereinbarung, Endung, Online-verbindung, Verbindung, Vorschrift"
62,Prozess,"Anweisung, Compilezeit, Einarbeitungszeit, Zeit, Compilezeit-phase, Projektphase, Phase, Newton-verfahren, Iterationsverfahren, Verfahren, Fehler, Form, Neuentwicklung, Entwicklung, Paket, Lösung, Übersetzungsvorgang, Vorgang, Ausführungszeitraum, Zeitraum, Software-lebenszyklus, Produktlebenszyklus, Speicherverbrauch, Ressourcenverbrauch"
63,Planung,"Zwischencode, Maschinencode, Zielcode, Html-code, Bytecode, Code, Quelltext, Anwendungssystem, Rechnersystem, Zielsystem, System, Text, Quellcode, Workflow-management, Veränderungsmanagement, Management, Computer, Auszeichnungssprache, Sprache, Quadratwurzelberechnung, Berechnung, Online-verbindung, Verbindung, Art"
64,Verhältnis,"Betriebssystemfunktion, Programmfunktion, Fehlfunktion, Sinusfunktion, Funktion, Workflow-management, Veränderungsmanagement, Management, Schleife, Teamarbeit, Programmierarbeit, Arbeit, Neuentwicklung, Entwicklung, Anwendungsproblem, Problem, Schutz, Vereinbarung, Online-verbindung, Verbindung, Rechenoperation, Operation, Art"
65,Informatik,"Quelltext, Hilfetext, Programmtext, N{\text, Text, Quellcode, Fehler, Datei, Auszeichnungssprache, Sprache, Programmstelle, Stelle, Programmcode, Qualitätskriterium, Kriterium, Softwarequalität, Qualität, Quelltextdaten, Eingabedaten, Operation, Hilfsvariable, Zeigervariable, Assemblersprache"
66,Software,"Unterprogramm, Maschinenprogramm, Hauptprogramm, Stapelprogramm, Dialogprogramm, Systemprogramm, Dienstprogramm, Binärprogramm, Anwenderprogramm, Programm, Quelloffene-software, Open-source-software, Individualsoftware, Anwendungssoftware, Jit-compiler, Precompiler, Java-compiler, Compiler, Texteditor, Problemlösung, Lösung, Debugger"
67,Vermögen,"Quelltext, System, Hilfetext, Programmtext, N{\text, Text, Erstellungsmöglichkeit, Klassifizierungsmöglichkeit, Verwechslungsmöglichkeit, Möglichkeit, Programm-quellcode, Quellcode, Bereich, Fehler, Auszeichnungssprache, Sprache, Version, Programmstelle, Stelle, Endanwendersicht, Sicht, Assemblersprache"
68,Programm,"Unterprogramm, Maschinenprogramm, Hauptprogramm, Stapelprogramm, Dialogprogramm, Systemprogramm, Dienstprogramm, Binärprogramm, Anwenderprogramm, Quelloffene-software, Open-source-software, Individualsoftware, Anwendungssoftware, Software, Jit-compiler, Precompiler, Java-compiler, Compiler, Texteditor, Problemlösung, Lösung, Debugger"
69,Form,"System, Cross-plattform, Zielplattform, Plattform, Bereich, Foreach-schleife, Schleife, Oberflächenform, Unix-anwendung, Anwendung, Dateiversion, Version, Quelltextformatierung, Formatierung, Kompilieren, Konfigurieren, Untervariante, Variante, Speicheradresse, Adresse, Prozessortyp, Cpu-typ"
70,Aufgabengebiet,"Rechnerumgebung, Hardwareumgebung, Programmierumgebung, Umgebung, Plattform, Compilezeit-phase, Projektphase, Phase, Server-bereich, Desktop-bereich, Bereich, Teamarbeit, Programmierarbeit, Arbeit, Rechenschritt, Schritt, Entwicklung, Stellung, Adresse, Speicherverbrauch, Ressourcenverbrauch"
71,Konstrukt,"Betriebssystemfunktion, Programmfunktion, Fehlfunktion, Sinusfunktion, Funktion, Gerät, Management, Foreach-schleife, Schleife, Syntaxfehler, Fehler, Teil, Programmstelle, Stelle, Bauziel, Ziel, Programmierdokumentation, Dokumentation, Werkzeug, Hilfsvariable, Zeigervariable"
72,Gebiet,"Rechnerumgebung, Hardwareumgebung, Programmierumgebung, Umgebung, Plattform, Compilezeit-phase, Projektphase, Phase, Server-bereich, Desktop-bereich, Bereich, Teamarbeit, Programmierarbeit, Arbeit, Rechenschritt, Schritt, Entwicklung, Stellung, Adresse, Speicherverbrauch, Ressourcenverbrauch"
73,Erklärung,"Sql-anweisung, Originalanweisung, Quellcodeanweisung, Ausgabeanweisung, Ablaufanweisung, Schleifenkontrollanweisung, Anweisung, Maschinenbefehl, Aufrufbefehl, Prozessorbefehl, Vergleichsbefehl, Befehl, Programmausführung, Ausführung, Version, Untervariante, Variante, Verarbeitungsvorschrift, Vorschrift, Urheberrechtsrichtlinie, Richtlinie"
74,Zeit,"Anweisung, Compilezeit, Einarbeitungszeit, Compilezeit-phase, Projektphase, Phase, Newton-verfahren, Iterationsverfahren, Verfahren, Fehler, Form, Entwicklung, Paket, Lösung, Übersetzungsvorgang, Vorgang, Ausführungszeitraum, Zeitraum, Software-lebenszyklus, Produktlebenszyklus"
75,Programme,"Unterprogramme, Quellprogramme, Java-programme, Binärprogramme, Compilezeit, Einarbeitungszeit, Zeit, Compilezeit-phase, Projektphase, Phase, Verfahren, Neuentwicklung, Entwicklung, Übersetzungsvorgang, Vorgang, Zeitraum, Software-lebenszyklus, Produktlebenszyklus, Speicherverbrauch, Ressourcenverbrauch"
76,Funktion,"Betriebssystemfunktion, Programmfunktion, Fehlfunktion, Sinusfunktion, Rechner, Endgerät, Programmiergerät, Gerät, Workflow-management, Veränderungsmanagement, Management, Computer, Programmteil, Teil, Folge, Stelle, Bauziel, Ziel, Werkzeug"
77,Variante,"Code, Rechner, Anwendungssystem, Rechnersystem, Zielsystem, System, Umgebung, Phase, Server-bereich, Desktop-bereich, Bereich, Schritt, Unix-anwendung, Anwendung, Sprache, Dateiversion, Version, Untervariante, Art"
78,Energie,"Betriebssystemfunktion, Programmfunktion, Fehlfunktion, Sinusfunktion, Funktion, Übertragungsaufwand, Anpassungsaufwand, Entwicklungsaufwand, Aufwand, Teamarbeit, Programmierarbeit, Arbeit, Neuentwicklung, Entwicklung, Anwendungsproblem, Problem, Schutz, Rechenoperation, Operation"
79,Vereinbarung,"Methode, Verfahren, Syntaxfehler, Fehler, Form, Rechenschritt, Schritt, Ausführung, Sprache, Programmstelle, Stelle, Aufgabenstellung, Stellung, Lizenzvereinbarung, Speicheradresse, Adresse, Fehlerart, Art"
80,Gestalt,"Cross-plattform, Zielplattform, Plattform, Foreach-schleife, Schleife, Oberflächenform, Form, Unix-anwendung, Anwendung, Version, Quelltextformatierung, Formatierung, Untervariante, Variante, Speicheradresse, Adresse, Prozessortyp, Cpu-typ"
81,Person,"Arbeitsplatzrechner, Edvac-rechner, Edsac-rechner, Großrechner, Rechner, Rechnerumgebung, Hardwareumgebung, Programmierumgebung, Umgebung, Editor, Obfuscator, Iterator, Rechenoperation, Operation, Hilfsvariable, Zeigervariable, Prozessortyp, Cpu-typ"
82,Bedeutungen,"Cross-plattform, Zielplattform, Plattform, Foreach-schleife, Schleife, Oberflächenform, Form, Unix-anwendung, Anwendung, Version, Quelltextformatierung, Formatierung, Untervariante, Variante, Speicheradresse, Adresse, Prozessortyp, Cpu-typ"
83,Endzustand,"Cross-plattform, Zielplattform, Plattform, Foreach-schleife, Schleife, Oberflächenform, Form, Unix-anwendung, Anwendung, Version, Quelltextformatierung, Formatierung, Untervariante, Variante, Speicheradresse, Adresse, Prozessortyp, Cpu-typ"
84,Anforderungen,"Cross-plattform, Zielplattform, Plattform, Foreach-schleife, Schleife, Oberflächenform, Form, Unix-anwendung, Anwendung, Version, Quelltextformatierung, Formatierung, Untervariante, Variante, Speicheradresse, Adresse, Prozessortyp, Cpu-typ"
85,Arbeit,"Betriebssystemfunktion, Programmfunktion, Fehlfunktion, Sinusfunktion, Funktion, Teamarbeit, Programmierarbeit, Neuentwicklung, Entwicklung, Berechnung, Anwendungsproblem, Problem, Ziel, Urheberschutz, Schutz, Rechenoperation, Operation"
86,Sprachfamilie,"Quelltext, System, Hilfetext, Programmtext, N{\text, Text, Programm-quellcode, Quellcode, Bereich, Fehler, Auszeichnungssprache, Sprache, Version, Programmstelle, Stelle, Assemblersprache"
87,Sprechweise,"Zwischencode, Maschinencode, Zielcode, Html-code, Bytecode, Code, Anweisung, Programm-quellcode, Quellcode, Fehler, Teil, Folge, Programmstelle, Stelle, Hilfsvariable, Zeigervariable"
88,Kommunikationsmittel,"Quelltext, System, Hilfetext, Programmtext, N{\text, Text, Programm-quellcode, Quellcode, Bereich, Fehler, Auszeichnungssprache, Sprache, Version, Programmstelle, Stelle, Assemblersprache"
89,Bestimmung,"Sql-anweisung, Originalanweisung, Quellcodeanweisung, Ausgabeanweisung, Ablaufanweisung, Schleifenkontrollanweisung, Anweisung, Maschinenbefehl, Aufrufbefehl, Prozessorbefehl, Vergleichsbefehl, Befehl, Verarbeitungsvorschrift, Vorschrift, Urheberrechtsrichtlinie, Richtlinie"
90,Varietät,"Quelltext, System, Hilfetext, Programmtext, N{\text, Text, Programm-quellcode, Quellcode, Bereich, Fehler, Auszeichnungssprache, Sprache, Version, Programmstelle, Stelle, Assemblersprache"
91,Aufgabe,"Betriebssystemfunktion, Programmfunktion, Fehlfunktion, Sinusfunktion, Funktion, Gerät, Management, Teil, Anwendungsproblem, Problem, Bauziel, Ziel, Urheberschutz, Schutz, Werkzeug"
92,Anstrengung,"Betriebssystemfunktion, Programmfunktion, Fehlfunktion, Sinusfunktion, Funktion, Teamarbeit, Programmierarbeit, Arbeit, Neuentwicklung, Entwicklung, Anwendungsproblem, Problem, Schutz, Rechenoperation, Operation"
93,Kleidung,"Programm, Text, Zeit, Management, Foreach-schleife, Schleife, Programmteil, Teil, Befehlsfolge, Folge, Stelle, Funktionsblock, Anweisungsblock, Operation, Adresse"
94,Anweisung,"Sql-anweisung, Originalanweisung, Quellcodeanweisung, Ausgabeanweisung, Ablaufanweisung, Schleifenkontrollanweisung, Maschinenbefehl, Aufrufbefehl, Prozessorbefehl, Vergleichsbefehl, Befehl, Verarbeitungsvorschrift, Vorschrift, Urheberrechtsrichtlinie, Richtlinie"
95,Position,"Foreach-schleife, Schleife, Syntaxfehler, Fehler, Programmstelle, Stelle, Bauziel, Ziel, Aufgabenstellung, Stellung, Speicheradresse, Adresse, Setzen, Übersetzen"
96,Verbindung,"Arbeitsplatzrechner, Edvac-rechner, Edsac-rechner, Großrechner, Rechner, Foreach-schleife, Schleife, Schritt, Stelle, Funktionsblock, Anweisungsblock, Lizenzvereinbarung, Vereinbarung, Online-verbindung"
97,Handeln,"Entwicklungsmethode, Iterationsmethode, Methode, Newton-verfahren, Iterationsverfahren, Verfahren, Syntaxfehler, Fehler, Entwicklung, Berechnung, Programmstelle, Stelle, Rechenoperation, Operation"
98,Moment,"Compilezeit, Einarbeitungszeit, Zeit, Compilezeit-phase, Projektphase, Phase, Verfahren, Übersetzungsvorgang, Vorgang, Ausführungszeitraum, Zeitraum, Software-lebenszyklus, Produktlebenszyklus"
99,Gegenwart,"Compilezeit, Einarbeitungszeit, Zeit, Compilezeit-phase, Projektphase, Phase, Verfahren, Übersetzungsvorgang, Vorgang, Ausführungszeitraum, Zeitraum, Software-lebenszyklus, Produktlebenszyklus"
100,Raumzeit,"Compilezeit, Einarbeitungszeit, Zeit, Compilezeit-phase, Projektphase, Phase, Verfahren, Übersetzungsvorgang, Vorgang, Ausführungszeitraum, Zeitraum, Software-lebenszyklus, Produktlebenszyklus"
101,Wert,"Teamarbeit, Programmierarbeit, Arbeit, Syntaxfehler, Fehler, Entwicklung, Berechnung, Programmstelle, Stelle, Softwarequalität, Qualität, Rechenoperation, Operation"
102,Teilmenge,"Rechnerumgebung, Hardwareumgebung, Programmierumgebung, Umgebung, Compilezeit-phase, Projektphase, Phase, Server-bereich, Desktop-bereich, Bereich, Arbeit, Rechenschritt, Schritt"
103,Beschreibung,"Code, Anwendungssystem, Rechnersystem, Zielsystem, System, Management, Rechenschritt, Schritt, Sprache, Quadratwurzelberechnung, Berechnung, Verbindung"
104,Anstellung,"Schleife, Syntaxfehler, Fehler, Programmstelle, Stelle, Ziel, Aufgabenstellung, Stellung, Speicheradresse, Adresse, Setzen, Übersetzen"
105,Wortgruppen,"Betriebssystemfunktion, Programmfunktion, Fehlfunktion, Sinusfunktion, Funktion, Gerät, Management, Teil, Bauziel, Ziel, Werkzeug"
106,Kode,"Betriebssystemfunktion, Programmfunktion, Fehlfunktion, Sinusfunktion, Funktion, Gerät, Management, Teil, Bauziel, Ziel, Werkzeug"
