labels,words
Bezeichnung,"Fahrtzweck, Erziehungszweck, Zweck, Form, Leistung, Schulprogramm, Fahrtenprogramm, Programm, Dienst, Zeit, Arbeitsort, Ort, Dienstgeschäft, Haustürgeschäft, Weltreiseführer, Reiseführer, Arbeit, Betriebsausgabe, Ausgabe, Lernen, Aufenthalt, Schulbusschild, Schild, Roman, Treffen, Grund, Betrieb, Arbeitsanweisung, Dienstanweisung, Reiseart, Art, Gastfamilie, Familie, Berg, Schülersammelliste, Schülerliste, Deutschland, Teil, Privatwirtschaft, Arbeitsstätte, Schweiz, Verb, Information, Welt, Richter, Unterweisung, Bundesland, Bestandteil, Bestimmung, Bahn, Stelle, Verbreitung"
Ergebnis,"Transitstaat, Nicht-schengen-staat, Wohnsitzstaat, Staat, Hauptmotivation, Prestigemotivation, Motivation, Wagenklasse, Beförderungsklasse, Klasse, Zweck, Arbeitsleistung, Regelleistung, Leistung, Schulprogramm, Fahrtenprogramm, Programm, Außendienst, Dienst, Ort, Reiseführer, Arbeitspflicht, Pflicht, Erziehungsarbeit, Arbeit, Betriebsausgabe, Ausgabe, Kennenlernen, Lernen, Science-fiction-roman, Roman, Dienstgang, Unterrichtsgang, Reisegrund, Grund, Beurteilung, Art, Familie, Dienstreise, Land, Deutschland, Teil, Mensch, Österreich, Schweiz, Verb, Richter, Erledigung, Bundesland, Bahn, Stelle"
Verhältnis,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Transitstaat, Nicht-schengen-staat, Wohnsitzstaat, Staat, Dienstreiseverkehr, Freizeitverkehr, Linienverkehr, Reiseverkehr, Wagenklasse, Beförderungsklasse, Klasse, Fahrtzweck, Erziehungszweck, Zweck, Arbeitsleistung, Regelleistung, Leistung, Klassenfahrt, Außendienst, Dienst, Arbeitspflicht, Pflicht, Erziehungsarbeit, Arbeit, Kennenlernen, Lernen, Schild, Dienstgang, Unterrichtsgang, Straßenverbindung, Verbindung, Art, Familie, Dienstreise, Land, Deutschland, Bedeutung, Rahmen, Mensch, Österreich, Schweiz, Welt, Weblink, Erledigung, Bezug"
Raumzeit,"Wagenklasse, Beförderungsklasse, Klasse, Zweck, Form, Vorphase, Anfangphase, Hochphase, Schule, Regelarbeitszeit, Arbeitszeit, Austauschjahr, Jahr, Wegzeit, Zeit, Arbeitsort, Ort, Arbeit, Ausgabe, Aufenthalt, Roman, Organisation, Dienstgang, Unterrichtsgang, Betrieb, Reiseart, Art, Landschulwoche, Woche, Gastfamilie, Familie, Teil, Transportmittel, Wohnung, Tag, Schiff, Jahrhundert, Mensch, Arbeitsstätte, Monat, Erholung, Frau, Geschichte, Soldat, August, Beginn, Erledigung, Bestimmung, Gruppe, Mitnahme"
Modell,"Fahrt, Wagenklasse, Beförderungsklasse, Klasse, Fahrtzweck, Erziehungszweck, Zweck, Bundesreisekostengesetz, Einkommensteuergesetz, Arbeitsgesetz, Reiseform, Wiki-form, Form, Schule, Dienst, Sicherheit, Tätigkeit, Schild, Science-fiction-roman, Roman, Dienstgang, Unterrichtsgang, Grund, Arbeitsanweisung, Dienstanweisung, Vorschuss, Reiseart, Art, Gastfamilie, Familie, Teil, Wohnung, Privatwirtschaft, Regelung, Schiff, Mensch, Schweiz, Verb, Information, Geschichte, Soldat, Gesellschaft, Welt, Bestandteil, Bezug, Bahn, Gruppe, Verbreitung, Verbrechen"
Taxon,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Klassenfahrt, Reisesicherheit, Sicherheit, Auswärtstätigkeit, Tätigkeit, Arbeit, Schild, Science-fiction-roman, Roman, Interesse, Dienstgang, Unterrichtsgang, Hochkulturschema, Trivialschema, Tramper-bewegung, Hippie-bewegung, Betrieb, Reiseart, Art, Gastfamilie, Familie, Berg, Bedeutung, Regelung, Eisenbahn, Mensch, Unternehmen, Verb, Information, Frau, Geschichte, Abenteuer, Welt, Durchführung, Bahn, Stelle, Verbreitung, Verbrechen"
Element,"Klasse, Fahrtzweck, Erziehungszweck, Zweck, Schulprogramm, Fahrtenprogramm, Programm, Arbeitszeit, Dienst, Wegzeit, Zeit, Dauer, Weltreiseführer, Reiseführer, Schulbusschild, Schild, Roman, Dienstgang, Unterrichtsgang, Reisegrund, Grund, Arbeitsanweisung, Dienstanweisung, Beurteilung, Art, Gastfamilie, Familie, Inselsberg, Berg, Land, Teil, Privatwirtschaft, Tag, Zahl, Jahrhundert, Mensch, Schweiz, Kraftfahrzeug, Verb, Information, Abenteuer, Gesellschaft, Welt, Richter, Bestandteil, Bestimmung, Bahn, Stelle"
Objekt,"Fahrtzweck, Erziehungszweck, Zweck, Programm, Schule, Zeit, Arbeitsort, Ort, Reiseführer, Arbeit, Betriebsausgabe, Ausgabe, Aufenthalt, Schulbus, Reiseverkehrsmittel, Verkehrsmittel, Schulbusschild, Schild, Science-fiction-roman, Roman, Organisation, Grund, Betrieb, Familie, Inselsberg, Berg, Auto, Teil, Transportmittel, Ziel, Autofahrer, Privatwirtschaft, Eisenbahn, Schiff, Arbeitsstätte, Monat, Schweiz, Band, Kraftfahrzeug, August, Thema, Richter, Bestandteil, Bestimmung, Bahn, Fahrer, Stelle, Fahrzeug"
Gattung,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Klassenfahrt, Reisesicherheit, Sicherheit, Auswärtstätigkeit, Tätigkeit, Arbeit, Science-fiction-roman, Roman, Interesse, Dienstgang, Unterrichtsgang, Hochkulturschema, Trivialschema, Tramper-bewegung, Hippie-bewegung, Betrieb, Reiseart, Art, Familie, Berg, Bedeutung, Regelung, Jahrhundert, Mensch, Unternehmen, Verb, Information, Frau, Geschichte, Welt, Durchführung, Bahn, Stelle, Verbreitung, Verbrechen"
Güte,"Fahrt, Wagenklasse, Beförderungsklasse, Klasse, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Schule, Dienst, Sicherheit, Tätigkeit, Schild, Science-fiction-roman, Roman, Dienstgang, Unterrichtsgang, Grund, Arbeitsanweisung, Dienstanweisung, Vorschuss, Reiseart, Art, Gastfamilie, Familie, Teil, Wohnung, Privatwirtschaft, Regelung, Schiff, Mensch, Schweiz, Verb, Information, Geschichte, Soldat, Gesellschaft, Welt, Bestandteil, Bezug, Bahn, Gruppe, Verbreitung, Verbrechen"
Familie,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Klassenfahrt, Reisesicherheit, Sicherheit, Auswärtstätigkeit, Tätigkeit, Arbeit, Science-fiction-roman, Roman, Interesse, Dienstgang, Unterrichtsgang, Hochkulturschema, Trivialschema, Tramper-bewegung, Hippie-bewegung, Betrieb, Reiseart, Art, Gastfamilie, Berg, Bedeutung, Regelung, Mensch, Unternehmen, Verb, Information, Frau, Geschichte, Welt, Durchführung, Bahn, Stelle, Verbreitung, Verbrechen"
Plural,"Staat, Wagenklasse, Beförderungsklasse, Klasse, Arbeitsleistung, Regelleistung, Leistung, Musterschule, Schule, Außendienst, Dienst, Arbeitsort, Ort, Pflicht, Erziehungsarbeit, Arbeit, Lernen, Strandaufenthalt, Aufenthalt, Schild, Verein, Einsatzorganisation, Organisation, Dienstgang, Unterrichtsgang, Unterhaltungsbetrieb, Betrieb, Art, Familie, Dienstreise, Teil, Transportmittel, Wohnung, Schiff, Reiseziel, Mensch, Arbeitsstätte, Information, Erledigung, Dienststelle, Bestimmung, Richtung, Übernachtung, Stelle"
Grundeinheit,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Klassenfahrt, Reisesicherheit, Sicherheit, Auswärtstätigkeit, Tätigkeit, Arbeit, Roman, Interesse, Dienstgang, Unterrichtsgang, Hochkulturschema, Trivialschema, Tramper-bewegung, Hippie-bewegung, Betrieb, Reiseart, Art, Familie, Berg, Bedeutung, Regelung, Mensch, Unternehmen, Verb, Information, Frau, Geschichte, Welt, Durchführung, Bahn, Stelle, Verbreitung, Verbrechen"
Ortgang,"Staat, Wagenklasse, Beförderungsklasse, Klasse, Arbeitsleistung, Regelleistung, Leistung, Musterschule, Schule, Außendienst, Dienst, Arbeitsort, Ort, Pflicht, Erziehungsarbeit, Arbeit, Lernen, Strandaufenthalt, Aufenthalt, Schild, Verein, Einsatzorganisation, Organisation, Dienstgang, Unterrichtsgang, Unterhaltungsbetrieb, Betrieb, Art, Familie, Dienstreise, Teil, Transportmittel, Wohnung, Schiff, Reiseziel, Mensch, Arbeitsstätte, Information, Erledigung, Dienststelle, Bestimmung, Richtung, Übernachtung, Stelle"
Eigenschaft,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Klassenfahrt, Reisesicherheit, Sicherheit, Auswärtstätigkeit, Tätigkeit, Arbeit, Roman, Interesse, Dienstgang, Unterrichtsgang, Hochkulturschema, Trivialschema, Tramper-bewegung, Hippie-bewegung, Betrieb, Reiseart, Art, Familie, Berg, Bedeutung, Regelung, Mensch, Unternehmen, Verb, Information, Frau, Geschichte, Welt, Durchführung, Bahn, Stelle, Verbreitung, Verbrechen"
Platz,"Staat, Wagenklasse, Beförderungsklasse, Klasse, Arbeitsleistung, Regelleistung, Leistung, Musterschule, Schule, Außendienst, Dienst, Arbeitsort, Ort, Pflicht, Erziehungsarbeit, Arbeit, Lernen, Strandaufenthalt, Aufenthalt, Schild, Verein, Einsatzorganisation, Organisation, Dienstgang, Unterrichtsgang, Unterhaltungsbetrieb, Betrieb, Art, Familie, Dienstreise, Teil, Transportmittel, Wohnung, Schiff, Reiseziel, Mensch, Arbeitsstätte, Information, Erledigung, Dienststelle, Bestimmung, Richtung, Übernachtung, Stelle"
Person,"Wagenklasse, Beförderungsklasse, Klasse, Zweck, Bundesreisekostengesetz, Einkommensteuergesetz, Arbeitsgesetz, Form, Leistung, Gastschüler, Schüler, Dienstgeschäft, Haustürgeschäft, Weltreiseführer, Reiseführer, Arbeit, Betriebsausgabe, Ausgabe, Lernen, Roman, Treffen, Lehrkraft, Reiseart, Art, Gastfamilie, Familie, Ewr-bürger, Bürger, Tramp, Arbeitgeber, Anhalter, Teil, Autofahrer, Eisenbahn, Unternehmen, Abenteuer, Soldat, Richter, Unterweisung, Bahn, Gruppe, Kraftfahrer, Verbreitung, Autor"
Konzeption,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Klassenfahrt, Reisesicherheit, Sicherheit, Auswärtstätigkeit, Tätigkeit, Arbeit, Roman, Interesse, Dienstgang, Unterrichtsgang, Hochkulturschema, Trivialschema, Tramper-bewegung, Hippie-bewegung, Betrieb, Reiseart, Art, Familie, Berg, Bedeutung, Regelung, Mensch, Unternehmen, Verb, Information, Frau, Geschichte, Welt, Durchführung, Bahn, Stelle, Verbreitung, Verbrechen"
Verhalten,"Staat, Klasse, Zweck, Bundesreisekostengesetz, Einkommensteuergesetz, Arbeitsgesetz, Mitfahren, Abgefahren, Fahren, Arbeitsleistung, Regelleistung, Leistung, Musterschule, Schule, Sicherheitsregel, Regel, Dienst, Pflicht, Erziehungsarbeit, Arbeit, Einzelbeschreibung, Beschreibung, Kennenlernen, Lernen, Verein, Einsatzorganisation, Organisation, Flug, Trampertreffen, Treffen, Teil, Transportmittel, Ziel, Unternehmen, Information, Studie, Erledigung, Dienststelle, Unterweisung, Durchführung, Richtung, Verbreitung, Verbrechen"
Zahl,"Wagenklasse, Beförderungsklasse, Klasse, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Musterschule, Schule, Außendienst, Dienst, Arbeitsort, Ort, Arbeit, Betriebsausgabe, Ausgabe, Aufenthalt, Verein, Reisegrund, Grund, Betrieb, Beurteilung, Vorschuss, Reiseart, Art, Familie, Dienstreise, Teil, Wohnung, Schiff, Arbeitsstätte, Unternehmen, Verb, Gesellschaft, Bezug, Bahn, Gruppe, Milliarde, Million, Stelle"
Kleidungsstück,"Klasse, Schulprogramm, Fahrtenprogramm, Programm, Arbeitszeit, Dienst, Wegzeit, Zeit, Dauer, Weltreiseführer, Reiseführer, Schulbusschild, Schild, Roman, Dienstgang, Unterrichtsgang, Reisegrund, Grund, Beurteilung, Art, Gastfamilie, Familie, Inselsberg, Berg, Land, Teil, Privatwirtschaft, Tag, Zahl, Jahrhundert, Mensch, Schweiz, Verb, Information, Abenteuer, Gesellschaft, Welt, Richter, Bestandteil, Bestimmung, Bahn, Stelle"
Einrichtung,"Fahrtzweck, Erziehungszweck, Zweck, Programm, Musterschule, Schule, Außendienst, Dienst, Zeit, Reiseführer, Schulbusschild, Schild, Schulverein, Verein, Einsatzorganisation, Organisation, Straßenverbindung, Verbindung, Grund, Arbeitsanweisung, Dienstanweisung, Art, Gastfamilie, Familie, Berg, Wohlfahrtsverband, Caritasverband, Dienstreise, Teil, Transportmittel, Privatwirtschaft, Schiff, Schweiz, Information, Welt, Richter, Dienststelle, Bestandteil, Bestimmung, Bahn, Stelle"
Abbildung,"Wagenklasse, Beförderungsklasse, Klasse, Fahrtzweck, Erziehungszweck, Zweck, Bundesreisekostengesetz, Einkommensteuergesetz, Arbeitsgesetz, Reiseform, Wiki-form, Form, Schulbusschild, Schild, Roman, Hochkulturschema, Trivialschema, Grund, Reiseart, Art, Rechtsbegriff, Begriff, Gastfamilie, Familie, Teil, Bedeutung, Eisenbahn, Zahl, Unternehmen, Kraftfahrzeug, Abenteuer, Soldat, Welt, Bahn, Gruppe, Milliarde, Stelle"
Unternehmung,"Arbeitsleistung, Regelleistung, Leistung, Schule, Dienst, Dienstgeschäft, Haustürgeschäft, Auswärtstätigkeit, Tätigkeit, Erziehungsarbeit, Arbeit, Ausgabe, Beschreibung, Kennenlernen, Lernen, Roman, Mediumeninteresse, Interesse, Organisation, Trampertreffen, Treffen, Unterhaltungsbetrieb, Betrieb, Transportmittel, Ziel, Unternehmen, Information, Studie, Abenteuer, Erledigung, Unterweisung, Durchführung, Richtung, Stelle, Verbreitung, Verbrechen"
Geschäft,"Staat, Klasse, Zweck, Arbeitsleistung, Regelleistung, Leistung, Musterschule, Schule, Dienst, Dienstgeschäft, Haustürgeschäft, Pflicht, Erziehungsarbeit, Arbeit, Einzelbeschreibung, Beschreibung, Kennenlernen, Lernen, Verein, Einsatzorganisation, Organisation, Trampertreffen, Treffen, Teil, Transportmittel, Ziel, Unternehmen, Information, Studie, Erledigung, Dienststelle, Unterweisung, Durchführung, Richtung, Verbreitung, Verbrechen"
Relation,"Fahrt, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Sicherheit, Tätigkeit, Schild, Science-fiction-roman, Roman, Dienstgang, Unterrichtsgang, Hochkulturschema, Trivialschema, Arbeitsanweisung, Dienstanweisung, Reiseart, Art, Gastfamilie, Familie, Wandererlass, Fahrtenerlass, Regelung, Rahmen, Mensch, Verb, Information, Geschichte, Welt, Bestimmung, Bezug, Bahn, Verbreitung, Verbrechen"
Aktion,"Staat, Klasse, Zweck, Arbeitsleistung, Regelleistung, Leistung, Außendienst, Dienst, Dienstgeschäft, Haustürgeschäft, Pflicht, Auswärtstätigkeit, Tätigkeit, Erziehungsarbeit, Arbeit, Betriebsausgabe, Ausgabe, Lernen, Science-fiction-roman, Roman, Mediumeninteresse, Interesse, Grund, Unterhaltungsbetrieb, Betrieb, Dienstreise, Ziel, Regelung, Eisenbahn, Unternehmen, Abenteuer, Erledigung, Durchführung, Richtung, Stelle"
Berufstätigkeit,"Staat, Klasse, Zweck, Arbeitsleistung, Regelleistung, Leistung, Außendienst, Dienst, Dienstgeschäft, Haustürgeschäft, Pflicht, Auswärtstätigkeit, Tätigkeit, Erziehungsarbeit, Arbeit, Betriebsausgabe, Ausgabe, Lernen, Science-fiction-roman, Roman, Mediumeninteresse, Interesse, Grund, Unterhaltungsbetrieb, Betrieb, Dienstreise, Ziel, Regelung, Eisenbahn, Unternehmen, Abenteuer, Erledigung, Durchführung, Richtung, Stelle"
Geschehnis,"Staat, Klasse, Zweck, Arbeitsleistung, Regelleistung, Leistung, Außendienst, Dienst, Dienstgeschäft, Haustürgeschäft, Pflicht, Auswärtstätigkeit, Tätigkeit, Erziehungsarbeit, Arbeit, Betriebsausgabe, Ausgabe, Lernen, Science-fiction-roman, Roman, Mediumeninteresse, Interesse, Grund, Unterhaltungsbetrieb, Betrieb, Dienstreise, Ziel, Regelung, Eisenbahn, Unternehmen, Abenteuer, Erledigung, Durchführung, Richtung, Stelle"
Arbeit,"Transitstaat, Nicht-schengen-staat, Wohnsitzstaat, Staat, Wagenklasse, Beförderungsklasse, Klasse, Zweck, Form, Arbeitsleistung, Regelleistung, Leistung, Arbeitspflicht, Pflicht, Erziehungsarbeit, Kennenlernen, Lernen, Roman, Dienstgang, Unterrichtsgang, Reiseart, Art, Gastfamilie, Familie, Land, Deutschland, Teil, Mensch, Österreich, Schweiz, Frau, Soldat, Erledigung, Gruppe"
Gerät,"Zweck, Musterschule, Schule, Außendienst, Dienst, Schulbus, Reiseverkehrsmittel, Verkehrsmittel, Schild, Schulverein, Verein, Einsatzorganisation, Organisation, Verbindung, Arbeitsanweisung, Dienstanweisung, Familie, Wohlfahrtsverband, Caritasverband, Dienstreise, Auto, Teil, Transportmittel, Autofahrer, Privatwirtschaft, Eisenbahn, Schiff, Schweiz, Kraftfahrzeug, Information, Welt, Dienststelle, Bestandteil, Bahn"
Zeit,"Form, Leistung, Vorphase, Anfangphase, Hochphase, Regelarbeitszeit, Arbeitszeit, Austauschjahr, Jahr, Dienst, Wegzeit, Tätigkeit, Betriebsausgabe, Ausgabe, Dienstgang, Unterrichtsgang, Unterhaltungsbetrieb, Betrieb, Landschulwoche, Woche, Literatur, Regelung, Tag, Jahrhundert, Mensch, Monat, Erholung, Frau, Geschichte, August, Beginn, Erledigung, Bestimmung, Mitnahme"
Energie,"Transitstaat, Nicht-schengen-staat, Wohnsitzstaat, Staat, Fahrtkosten, Übernachtungskosten, Werbungskosten, Kosten, Wagenklasse, Beförderungsklasse, Klasse, Arbeitsleistung, Regelleistung, Leistung, Personenverkehrsaufwand, Zeitaufwand, Aufwand, Arbeitspflicht, Pflicht, Erziehungsarbeit, Arbeit, Kennenlernen, Lernen, Dienstgang, Unterrichtsgang, Art, Familie, Land, Reisekosten, Deutschland, Mensch, Österreich, Schweiz, Erledigung"
Lebewesen,"Wagenklasse, Beförderungsklasse, Klasse, Bundesreisekostengesetz, Einkommensteuergesetz, Arbeitsgesetz, Gastschüler, Schüler, Dienstgeschäft, Haustürgeschäft, Weltreiseführer, Reiseführer, Betriebsausgabe, Ausgabe, Hippie-generation, Generation, Lehrkraft, Art, Familie, Ewr-bürger, Bürger, Tramp, Arbeitgeber, Anhalter, Autofahrer, Eisenbahn, Unternehmen, Abenteuer, Soldat, Richter, Bahn, Kraftfahrer, Autor"
Verbindung,"Dienstreiseverkehr, Freizeitverkehr, Linienverkehr, Reiseverkehr, Fahrtzweck, Erziehungszweck, Zweck, Schüler, Reiseführer, Dienstgang, Unterrichtsgang, Straßenverbindung, Lehrkraft, Bürger, Tramp, Land, Deutschland, Anhalter, Europa, Kontinent, Mensch, Unternehmen, Österreich, Band, Frau, Soldat, Asien, Welt, Weblink, Richter, Bahn, Kraftfahrer, Autor"
Mensch,"Wagenklasse, Beförderungsklasse, Klasse, Bundesreisekostengesetz, Einkommensteuergesetz, Arbeitsgesetz, Gastschüler, Schüler, Dienstgeschäft, Haustürgeschäft, Weltreiseführer, Reiseführer, Betriebsausgabe, Ausgabe, Lehrkraft, Art, Familie, Ewr-bürger, Bürger, Tramp, Arbeitgeber, Anhalter, Autofahrer, Eisenbahn, Unternehmen, Band, Frau, Abenteuer, Soldat, Richter, Bahn, Kraftfahrer, Autor"
Zeitabschnitt,"Leistung, Arbeitszeit, Jahr, Dienst, Wegzeit, Zeit, Reisedauer, Dauer, Auswärtstätigkeit, Tätigkeit, Erziehungsarbeit, Arbeit, Ausgabe, Roman, Mediumeninteresse, Interesse, Hippie-generation, Generation, Unterhaltungsbetrieb, Betrieb, Ziel, Tag, Jahrhundert, Unternehmen, Monat, Geschichte, Abenteuer, August, Beginn, Erledigung, Durchführung, Richtung, Stelle"
Gang,"Dienstreiseverkehr, Freizeitverkehr, Linienverkehr, Reiseverkehr, Klasse, Gastschüler, Schüler, Weltreiseführer, Reiseführer, Ausgabe, Dienstgang, Unterrichtsgang, Flug, Lehrkraft, Ewr-bürger, Bürger, Tramp, Anhalter, Autofahrer, Eisenbahn, Mensch, Unternehmen, Band, Frau, Abenteuer, Soldat, Richter, Kraftfahrer, Autor"
Wort,"Zweck, Programm, Ort, Dienstgeschäft, Haustürgeschäft, Reiseführer, Betriebsausgabe, Ausgabe, Schulbusschild, Schild, Arbeitsanweisung, Dienstanweisung, Art, Gastfamilie, Familie, Schülersammelliste, Schülerliste, Deutschland, Teil, Privatwirtschaft, Schiff, Schweiz, Verb, Welt, Richter, Bundesland, Bestandteil, Bahn, Stelle"
Veränderung,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Dienstreiseverkehr, Freizeitverkehr, Linienverkehr, Reiseverkehr, Schulreise, Abi-reise, Matura-reise, Austauschreise, Reise, Weltreise, Klassenfahrt, Fernflug, Flug, Mitreisen, Auslandreisen, Reisen, Tramper-bewegung, Hippie-bewegung, Dienstreise, Geschäftsreise, Schulwanderung, Information, Weltumrundung"
Unternehmen,"Arbeitsleistung, Regelleistung, Leistung, Schule, Dienstgeschäft, Haustürgeschäft, Erziehungsarbeit, Arbeit, Beschreibung, Kennenlernen, Lernen, Organisation, Trampertreffen, Treffen, Arbeitgeber, Transportmittel, Ziel, Eisenbahn, Information, Studie, Abenteuer, Erledigung, Unterweisung, Durchführung, Bahn, Richtung, Verbreitung, Verbrechen"
Möglichkeit,"Wagenklasse, Beförderungsklasse, Klasse, Zweck, Form, Schule, Arbeitsort, Ort, Arbeit, Aufenthalt, Roman, Organisation, Dienstgang, Unterrichtsgang, Betrieb, Reiseart, Art, Gastfamilie, Familie, Teil, Transportmittel, Wohnung, Schiff, Mensch, Arbeitsstätte, Frau, Soldat, Gruppe"
Aufwand,"Transitstaat, Nicht-schengen-staat, Wohnsitzstaat, Staat, Fahrtkosten, Übernachtungskosten, Werbungskosten, Kosten, Klasse, Arbeitsleistung, Regelleistung, Leistung, Personenverkehrsaufwand, Zeitaufwand, Pflicht, Erziehungsarbeit, Arbeit, Lernen, Land, Reisekosten, Deutschland, Europa, Kontinent, Österreich, Schweiz, Asien, Erledigung, Bahn"
Bewegung,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Dienstreiseverkehr, Freizeitverkehr, Linienverkehr, Reiseverkehr, Schulreise, Abi-reise, Matura-reise, Austauschreise, Reise, Forschungsweltreise, Weltreise, Klassenfahrt, Schulausflug, Fernflug, Flug, Mitreisen, Auslandreisen, Reisen, Tramper-bewegung, Hippie-bewegung, Dienstreise, Geschäftsreise, Weltumrundung"
Darstellung,"Wagenklasse, Beförderungsklasse, Klasse, Zweck, Bundesreisekostengesetz, Einkommensteuergesetz, Arbeitsgesetz, Reiseform, Wiki-form, Form, Schulbusschild, Schild, Science-fiction-roman, Roman, Hochkulturschema, Trivialschema, Art, Rechtsbegriff, Begriff, Familie, Bedeutung, Zahl, Jahrhundert, Unternehmen, Kraftfahrzeug, Geschichte, Welt, Bahn"
Wohnung,"Zweck, Musterschule, Schule, Außendienst, Dienst, Schild, Schulverein, Verein, Einsatzorganisation, Organisation, Verbindung, Arbeitsanweisung, Dienstanweisung, Familie, Wohlfahrtsverband, Caritasverband, Dienstreise, Teil, Transportmittel, Privatwirtschaft, Schiff, Schweiz, Information, Welt, Dienststelle, Bestandteil, Bahn"
Verfassung,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Dienstreiseverkehr, Freizeitverkehr, Linienverkehr, Reiseverkehr, Reise, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Klassenfahrt, Schild, Flug, Reisen, Tramper-bewegung, Hippie-bewegung, Bedeutung, Eisenbahn, Unternehmen, Abenteuer, Bahn"
Betätigung,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Dienstreiseverkehr, Freizeitverkehr, Linienverkehr, Reiseverkehr, Schulreise, Abi-reise, Matura-reise, Austauschreise, Reise, Weltreise, Klassenfahrt, Fernflug, Flug, Mitreisen, Auslandreisen, Reisen, Tramper-bewegung, Hippie-bewegung, Dienstreise, Geschäftsreise, Weltumrundung"
Eltern,"Fahrt, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Sicherheit, Tätigkeit, Science-fiction-roman, Roman, Dienstgang, Unterrichtsgang, Hippie-generation, Generation, Reiseart, Art, Gastfamilie, Familie, Regelung, Mensch, Verb, Information, Geschichte, Verbreitung, Verbrechen"
Werk,"Fahrtzweck, Erziehungszweck, Zweck, Arbeitsort, Ort, Arbeit, Betriebsausgabe, Ausgabe, Aufenthalt, Schild, Science-fiction-roman, Roman, Reisegrund, Grund, Betrieb, Gefährdungsbeurteilung, Beurteilung, Teil, Bedeutung, Privatwirtschaft, Arbeitsstätte, Schweiz, Band, Bestandteil, Bahn, Stelle"
Gemütszustand,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Dienstreiseverkehr, Freizeitverkehr, Linienverkehr, Reiseverkehr, Schulreise, Abi-reise, Matura-reise, Austauschreise, Reise, Weltreise, Klassenfahrt, Fernflug, Flug, Mitreisen, Auslandreisen, Reisen, Tramper-bewegung, Hippie-bewegung, Dienstreise, Geschäftsreise, Weltumrundung"
Anstrengung,"Transitstaat, Nicht-schengen-staat, Wohnsitzstaat, Staat, Wagenklasse, Beförderungsklasse, Klasse, Arbeitsleistung, Regelleistung, Leistung, Arbeitspflicht, Pflicht, Erziehungsarbeit, Arbeit, Kennenlernen, Lernen, Dienstgang, Unterrichtsgang, Art, Familie, Land, Deutschland, Mensch, Österreich, Schweiz, Erledigung"
Gegenwart,"Vorphase, Anfangphase, Hochphase, Regelarbeitszeit, Arbeitszeit, Austauschjahr, Jahr, Wegzeit, Zeit, Ausgabe, Dienstgang, Unterrichtsgang, Betrieb, Landschulwoche, Woche, Tag, Jahrhundert, Mensch, Monat, Erholung, Geschichte, August, Beginn, Erledigung, Bestimmung, Mitnahme"
Großeltern,"Fahrt, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Sicherheit, Tätigkeit, Science-fiction-roman, Roman, Dienstgang, Unterrichtsgang, Hippie-generation, Generation, Reiseart, Art, Gastfamilie, Familie, Regelung, Mensch, Verb, Information, Geschichte, Verbreitung, Verbrechen"
Moment,"Vorphase, Anfangphase, Hochphase, Regelarbeitszeit, Arbeitszeit, Austauschjahr, Jahr, Wegzeit, Zeit, Ausgabe, Dienstgang, Unterrichtsgang, Betrieb, Landschulwoche, Woche, Tag, Jahrhundert, Mensch, Monat, Erholung, Geschichte, August, Beginn, Erledigung, Bestimmung, Mitnahme"
